C18685	Landomycin E
C20149	9beta-Pimara-7,15-dien-19-oate
C11856	Gibberellin A6
C18631	Nogalavinone
C05144	(beta-D-Mannuronate)n
C00653	Poly(ribitol phosphate)
C04908	1-(4-Hydroxy-2-methylpyrimid-5-ylmethyl)-3-(beta-hydroxyethyl)-2-methylpyridinium bromide
C21753	2-Chloro-2-hydroxyethyl-CoM
C01752	Scopoletin
C04201	L-Tyrosine methyl ester 4-sulfate
C20194	delta-Amyrin
C05268	(S)-Hydroxyhexanoyl-CoA
C11924	Perillic acid
C16612	Citalopram aldehyde
C21219	Validoxylamine A 7'-phosphate
C14724	Demethyl-desacetyl-rifamycin S
C05860	beta-D-Mannosyldiacetylchitobiosyldiphosphodolichol
C11382	(+)-3-Carene
C18242	2,3,5-Trichlorodienelactone
C04187	5-Methyldeoxycytidine diphosphate
C14721	34a-Deoxy-rifamycin W
C00748	Siroheme
C17950	N-Acetyldemethylphosphinothricin tripeptide
C20151	10beta,14beta-Dihydroxytaxa-4(20),11-dien-5alpha-yl acetate
C05560	L-2-Aminoadipate adenylate
C02659	Acetone cyanohydrin
C01582	Galactose
C05843	N1-Methyl-4-pyridone-5-carboxamide
C20816	Deacetylepithienamycin F
C16680	all-trans-5,6-Epoxyretinoic acid
C04654	(13E)-11alpha-Hydroxy-9,15-dioxoprost-13-enoate
C06589	cis-2,3-Dihydro-2,3-dihydroxybiphenyl
C00093	sn-Glycerol 3-phosphate
C16281	Thiobenzamide
C03003	N-Glucosylnicotinate
C18672	Methylmercury
C03281	Kanamycin A 3'-phosphate
C03827	2-Dehydro-3-deoxy-L-fuconate
C03368	7''-O-Phosphohygromycin
C03241	6-Hydroxyhexan-6-olide
C15786	5alpha-Campestan-3-one
C16321	9(S)-HPOT
C21073	dTDP-3-N,N-dimethylamino-2,3,6-trideoxy-4-keto-D-glucose
C20703	(8E,10S,12Z)-10-Hydroperoxyoctadeca-8,12-dienoate
C20275	(+)-Sativene
C15908	Chlorobactene
C19694	D-Alanyl-(R)-lactate
C07888	Cyclophosphamide
C11977	6,8a-Seco-6,8a-deoxy-5-oxoavermectin ''1a'' aglycone
C05995	7-Hydroxy-6-methyl-8-ribityllumazine
C05272	trans-Hexadec-2-enoyl-CoA
C00680	meso-2,6-Diaminoheptanedioate
C00266	Glycolaldehyde
C13633	2,2-Bis(4-hydroxyphenyl)-propanoic acid
C08626	Friedelin
C07201	Vinblastine
C03719	Phenylacetothiohydroximate
C04276	1,6-alpha-D-Mannosyloligosaccharide
C07354	(7S,8S)-DiHODE
C01102	O-Phospho-L-homoserine
C06429	(4Z,7Z,10Z,13Z,16Z,19Z)-Docosahexaenoic acid
C14799	(1R,2R)-3-[(1,2-Dihydro-2-hydroxy-1-naphthalenyl)thio]-2-oxopropanoic acid
C11356	trans,trans,cis-Geranylgeranyl diphosphate
C10882	Sesamin
C19760	(2Z,6Z)-Farnesyl diphosphate
C01037	7,8-Diaminononanoate
C00894	Propenoyl-CoA
C06327	Chelirubine
C21110	Monodechloroaminopyrrolnitrin
C05913	(3Z)-Phytochromobilin
C19624	22-Oxodocosanoate
C05314	N-Methyl-(R,S)-tetrahydrobenzylisoquinoline
C05275	trans-Dec-2-enoyl-CoA
C05271	trans-Hex-2-enoyl-CoA
C18016	3beta-Hydroxy-9beta-pimara-7,15-diene-19,6beta-olide
C00637	Indole-3-acetaldehyde
C16395	2-Amino-4,6-dinitrotoluene
C15914	Hydroxychlorobactene glucoside
C05437	Zymosterol
C01987	2-Aminophenol
C03296	N2-Succinyl-L-arginine
C05631	Eriodictyol
C16427	Isopentenyl adenosine
C04138	N(alpha)-gamma-L-Glutamylhistamine
C12481	dTDP-5-dimethyl-L-lyxose
C16602	3-Hydroxycarbamazepine
C13050	Cyclic ADP-ribose
C04522	2-Chloro-2,5-dihydro-5-oxofuran-2-acetate
C06555	Biuret
C03955	N6-Acetyl-N6-hydroxy-L-lysine
C21391	11a-Hydroxytetracycline
C10516	Pisatin
C02501	2-Hydroxymuconate
C05399	Melibiitol
C04831	DIMBOA-glucoside
C16560	3-Hydroxylidocaine
C19491	(E)-2-Methylbutanal oxime
C12147	L-Threonine O-3-phosphate
C04076	L-2-Aminoadipate 6-semialdehyde
C03237	5-Hydroxypentanoyl-CoA
C16829	gamma-Humulene
C14849	Benzo[a]pyrene-9,10-oxide
C17953	(5S)-Albaflavenol
C21153	Adenosylcobalamin 5'-phosphate
C02050	Linoleoyl-CoA
C03189	DL-Glycerol 1-phosphate
C06603	cis,cis-4-Hydroxymuconic semialdehyde
C11526	5-PP-InsP5
C20680	2-Dehydro-3-deoxy-L-galactonate
C18635	Aclacinomycin S
C18062	TRIBOA-glucoside
C21433	12-Ethyl-8-propylbacteriochlorophyllide d
C06553	N-Isopropylammelide
C11429	Phenanthrene-9,10-oxide
C18933	Chloranil
C04691	2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate
C20977	8-Demethyl-8-(2,3,4-tri-O-methyl-alpha-L-rhamnosyl)tetracenomycin C
C11811	1-Hydroxy-2-methyl-2-butenyl 4-diphosphate
C12412	Aquayamycin
C15792	3-Dehydroteasterone
C16371	Pelargonidin 3-glucoside 5-caffeoylglucoside
C17355	Nocardicin G
C15902	Hydroxyspheroidene
C20959	(4S)-4-Hydroxy-5-phosphooxypentane-2,3-dione
C15510	4-Glyceollidin
C16549	alpha-Hydroxy-N-desmethyltamoxifen
C17695	2-Keto-5-epi-valiolone
C07032	N-Acetylpuromycin
C00325	GDP-L-fucose
C16206	9,10-Dihydroxyanthracene
C21342	Calicheamicin alpha3(I)
C02066	Pseudotropine
C04063	D-myo-Inositol 3,4-bisphosphate
C17945	Phosphonoformyl-CMP
C14859	Chloroacetyl chloride
C05431	all-trans-Neurosporene
C02627	2-Deoxystreptamine
C04444	3,7,4'-Tri-O-methylquercetin
C17701	Gentamicin A2
C05471	11beta,17alpha,21-Trihydroxy-5beta-pregnane-3,20-dione
C12115	3-Amino-4-hydroxybenzoate
C03852	Androstan-3alpha,17beta-diol
C16275	(2S,2'S)-Oscillol 2,2'-di(alpha-L-fucoside)
C20561	21,22-Diprenylpaxilline
C20494	Delphinidin 5-O-beta-D-glucoside 3-O-beta-D-sambubioside
C02385	Amino acid(Arg-)
C04579	Inositol 1,2,3,5,6-pentakisphosphate
C07031	N-Acetyl-O-demethylpuromycin
C16717	Limonoate D-ring-lactone
C03712	N2,N5-Dibenzoyl-L-ornithine
C21913	Dihydro-4-coumaroyl-CoA
C05635	5-Hydroxyindoleacetate
C20529	14,15-Epoxyemindole SB
C05340	beta-Alanyl-L-arginine
C01077	O-Acetyl-L-homoserine
C01470	Acacetin
C20503	1'-Hydroxyversicolorone
C04062	D-myo-Inositol 1,3-bisphosphate
C00164	Acetoacetate
C05570	Ergothioneine
C11868	Gibberellin A34
C00988	2-Phosphoglycolate
C10028	Chrysin
C10517	2-(alpha-D-Glucosyl)-sn-glycerol 3-phosphate
C09817	Benzylsuccinyl-CoA
C18251	Pyrene-4,5-dione
C05503	Estradiol-17beta 3-glucuronide
C04429	beta-D-Glucosylpoly(ribitol phosphate)
C20433	3-Methyl-1,2-didehydro-2,3-dihydrobotryococcene
C03981	2-Hydroxyethylenedicarboxylate
C04556	4-Amino-2-methyl-5-(phosphooxymethyl)pyrimidine
C14830	GDP-4-keto-6-L-deoxygalactose
C04711	5-(3-Hydroxy-4-acetoxybut-1-ynyl)-2,2'-bithiophene
C17587	2'''-N-Acetyl-6'''-deamino-6'''-hydroxyneomycin C
C20975	8-Demethyl-8-(2-O-methyl-alpha-L-rhamnosyl)tetracenomycin C
C21007	5,6,7,8-Tetrahydromonapterin
C21217	Geranylgeranyl bacteriochlorophyllide a
C16409	Aureusidin 6-O-glucoside
C06308	(-)-alpha-Pinene
C02741	Phosphoribosyl-AMP
C01661	Doxorubicin
C05274	Decanoyl-CoA
C02782	2-Deoxy-D-gluconate
C17010	Dehypoxanthine futalosine
C06554	Cyanuric acid
C03660	L-Bornesitol
C16217	3-Hydroxyoctadecanoyl-CoA
C21181	(2S)-3-Sulfolactaldehyde
C02235	4-Nitrocatechol
C00642	4-Hydroxyphenylacetate
C04559	4-Methylmuconolactone
C04030	(2,3-Dihydroxybenzoyl)adenylate
C20315	(Z)-2-Methylpropanal oxime
C01456	Tropate
C19871	Guanylyl molybdenum cofactor
C20450	2,5-Furandicarboxylate
C20230	(+)-Sabinene
C00409	Methanethiol
C18167	Secoisolariciresinol
C03962	(-)-Menthyl O-beta-D-glucoside
C16600	(-)-threo-Iso(homo)3-citrate
C02990	L-Palmitoylcarnitine
C12299	Cinnamyl acetate
C13482	Phosphodimethylethanolamine
C20536	Terpendole E
C01044	N-Formyl-L-aspartate
C21312	6-Methylsalicylyl-CoA
C01879	5-Oxoproline
C16597	(-)-threo-Iso(homo)2-citrate
C11421	(3S)-3-Isopropenyl-6-oxoheptanoyl-CoA
C16590	7-Oxoheptanoic acid
C02373	4-Methylpentanal
C03062	2-O-Caffeoylglucarate
C02930	2-Methyleneglutarate
C20907	Chondroitin 4,6-sulfate
C01851	Scopolamine
C01215	2-(Acetamidomethylene)succinate
C04092	Delta1-Piperideine-2-carboxylate
C20263	L-threo-7,8-Dihydrobiopterin
C01855	Taxiphyllin
C20960	3-Hydroxy-5-phosphooxypentane-2,4-dione
C04780	8-[(1R,2R)-3-Oxo-2-{(Z)-pent-2-enyl}cyclopentyl]octanoate
C03832	3,5,3'-Triiodothyropyruvate
C00820	D-Threonine
C18014	3,8'-Biflaviolin
C17700	Validoxylamine A
C21851	Pyridinium-3,5-biscarboxylic acid mononucleotide
C04314	cis-1,2-Dihydronaphthalene-1,2-diol
C00817	D-Altronate
C00831	Pantetheine
C14864	S-(2-Chloroacetyl)glutathione
C05919	11-cis-Dehydroretinal
C13631	2,2-Bis(4-hydroxyphenyl)-1-propanol
C04834	Juvenile hormone II acid
C20441	Furfuryl alcohol
C00827	Lactoyl-CoA
C21256	6'-Oxolividamine
C21408	(1R,6R)-1,4,5,5a,6,9-Hexahydrophenazine-1,6-dicarboxylate
C20516	Cyclo(L-tyrosyl-L-tyrosyl)
C00503	Erythritol
C20560	N1-(3-Aminopropyl)agmatine
C16689	poly-cis-Polyprenyl diphosphate longer by one C5 unit
C04024	Vitexin 2''-O-beta-D-glucoside
C15965	3'-Hydroxyechinenone
C00861	L-Rhamnulose
C04578	16-Methoxy-2,3-dihydro-3-hydroxytabersonine
C20419	CMP-N,N'-diacetyllegionaminate
C00819	D-Glutamine
C16231	(-)-Maackiain-3-O-glucosyl-6''-O-malonate
C21583	6-O-Methyl-N-deacetylisoipecoside aglycon
C00848	6-Oxocineole
C16492	8-C-Glucosylnaringenin
C04783	cis-4,5-Dihydroxycyclohexa-1(6),2-diene-1,2-dicarboxylate
C02661	Bromochloromethane
C06180	Anabasine
C22001	(R)-3-Hydroxymyristic acid
C06508	Adenosyl cobinamide
C11931	dTDP-2,6-dideoxy-L-glycero-hex-2-enos-4-ulose
C16565	Aminopropylcadaverine
C09893	Pulegone
C02379	6-Hydroxymellein
C20924	(1S,4E,8E,12E)-2,2,5,9,13-Pentamethylcyclopentadeca-4,8,12-trien-1-ol
C06615	cis-3-Chloroacrylic acid
C19788	5-Nitroanthranilate
C11387	(1S,4R)-(+)-Fenchone
C20271	[(1R)-2,2,3-Trimethyl-5-oxocyclopent-3-enyl]acetate
C20478	(E)-2-epi-beta-Caryophyllene
C08544	Gomphrenin-I
C00727	Orcinol
C01036	4-Maleylacetoacetate
C10107	Myricetin
C16420	4-Acetamido-2-amino-6-nitrotoluene
C02549	Kievitone hydrate
C06002	(S)-Methylmalonate semialdehyde
C14722	Rifamycin W-hemiacetal
C15672	Heme O
C03345	2-Methylbut-2-enoyl-CoA
C06510	Adenosine-GDP-cobinamide
C05618	3-Chlorocatechol
C15683	Mycinamicin VII
C11677	Horhammericine
C12142	Vetispiradiene
C17437	di-trans,poly-cis-Octaprenyl diphosphate
C05298	2-Hydroxyestrone
C10503	Medicarpin
C00361	dGDP
C18323	3-Methylfumaryl-CoA
C20496	Delphinidin 3,7-di-O-beta-D-glucoside
C11813	Demethylalangiside
C12409	124-1
C17268	Pyruvophenone
C17751	cyclo-Dopa 5-O-glucoside
C01239	N-Acetyl-beta-D-glucosaminylamine
C21131	Protodeoxyviolaceinic acid
C11903	Methanophenazine
C00512	Benzoyl-CoA
C16591	3-Carbamoyl-2-phenylpropionic acid
C16304	Delphinidin 3-O-(6''-O-malonyl)-beta-glucoside-3'-O-beta-glucoside
C19710	[L-Asp(4-L-Arg)]n-L-Asp
C16186	L-Ascorbate 6-phosphate
C21180	2-Dehydro-3,6-dideoxy-6-sulfo-D-gluconate
C13453	Xanthoxin
C04075	2-Amino-4-chloro-4-pentenoic acid
C00519	Hypotaurine
C03657	1,4-Dihydroxy-2-naphthoate
C18316	2-Hydroxy-5-methylquinone
C00490	Itaconate
C02497	2-Butyne-1,4-diol
C07108	Tamoxifen
C11453	2-C-Methyl-D-erythritol 2,4-cyclodiphosphate
C00197	3-Phospho-D-glycerate
C15670	Heme A
C05322	7-O-Acetylsalutaridinol
C11301	Sulfoglycolithocholate
C06691	Actinorhodin
C19767	7-(3-Methylbut-2-enyl)-L-tryptophan
C05475	11beta,21-Dihydroxy-5beta-pregnane-3,20-dione
C11379	Cinchonidine
C11922	dTDP-4-oxo-2,6-dideoxy-D-glucose
C00979	O-Acetyl-L-serine
C13712	Allopregnanolone
C09666	beta-Farnesene
C06509	Adenosyl cobinamide phosphate
C03656	(S)-5-Amino-3-oxohexanoic acid
C20370	trans,octacis-Decaprenylphospho-beta-D-arabinofuranose
C11638	3-Amino-2-oxopropyl phosphate
C05382	Sedoheptulose 7-phosphate
C17336	7alpha,26-Dihydroxy-4-cholesten-3-one
C14770	11,12-EET
C20173	(+)-gamma-Cadinene
C05703	Methaneselenol
C02512	3-Cyano-L-alanine
C01118	O-Succinyl-L-homoserine
C01722	L-Glucitol
C08814	Brassinolide
C03564	1-Pyrroline-2-carboxylate
C13455	Abscisic aldehyde
C12432	Carminomycin
C19879	D-glycero-alpha-D-manno-Heptose 1,7-bisphosphate
C00523	Androsterone
C06399	Hydrogenobyrinate
C11633	16-Epivellosimine
C06160	(S)-Norcoclaurine
C20704	(8E,10S,12Z,15Z)-10-Hydroperoxyoctadeca-8,12,15-trienoate
C14119	Naphthyl-2-oxomethyl-succinyl-CoA
C14823	8(S)-HPETE
C04712	(7R)-7-(5-Carboxy-5-oxopentanoyl)aminocephalosporinate
C06616	Erythromycin C
C19835	Camelliol C
C11879	Levopimaradiene
C09814	Benzonitrile
C00360	dAMP
C00884	Homocarnosine
C15776	4alpha-Methylfecosterol
C08983	Soyasaponin I
C19965	beta-D-4-Deoxy-Delta4-GlcA-(1->4)-beta-D-Glc-(1->4)-alpha-L-Rha-(1->3)-D-Glc
C06398	ADP-L-glycero-beta-D-manno-heptose
C00956	L-2-Aminoadipate
C04713	N6-(delta2-Isopentenyl)-adenosine 5'-monophosphate
C16503	Methyl farnesoate
C10783	(-)-Sparteine
C03797	Oxidized Photinus luciferin
C20528	Terpendole B
C14088	3-Methylsalicylate
C12472	Novclobiocin 105
C20432	C30 Botryococcene
C04558	3-Methylmuconolactone
C20251	1-Keto-D-chiro-inositol
C15770	DIBOA
C02495	2'-Hydroxydaidzein
C18252	Phenanthrene-4,5-dicarboxylate
C12628	Vitexin 2''-O-beta-L-rhamnoside
C00933	Sinapine
C18778	8-D-Olivosyl-landomycin
C01564	Cetraxate
C01946	Oleandomycin
C19938	Pentalen-13-ol
C19948	dTDP-3-dimethylamino-3,6-dideoxy-alpha-D-galactopyranose
C20421	N,N'-Diacetyl-alpha-D-bacillosaminyldiphospho-tritrans,heptacis-undecaprenol
C18002	5-Ribosylparomamine
C16432	5-Hydroxyectoine
C11816	Protoemetine
C16222	Formononetin 7-O-glucoside-6''-O-malonate
C00441	L-Aspartate 4-semialdehyde
C21469	7alpha,12alpha-Dihydroxy-3-oxochol-4-en-24-oyl-CoA
C13622	Dibromobisphenol A
C03001	N-Benzoyl-D-arginine
C01714	Isovitexin
C14315	Anthracene
C09183	Sclareol
C20379	Chanoclavine-I aldehyde
C11755	Epithienamycin E
C17224	2-Oxo-8-methylthiooctanoic acid
C00160	Glycolate
C11278	Aflatoxin B1exo-8,9-epoxide-GSH
C05929	10-Formyltetrahydrofolylpolyglutamate
C11588	cis-3-(Carboxy-ethyl)-3,5-cyclo-hexadiene-1,2-diol
C17658	Isolithocholate
C21297	2-Hydroxy-2-methylpropanoate
C16595	4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one
C11434	2-C-Methyl-D-erythritol 4-phosphate
C03351	3-Hydroxybenzyl alcohol
C01949	Pentan-2-one
C03503	Glucosyloxyanthraquinone
C02954	6-Aminopenicillanate
C12423	Aklaviketone
C09751	Garbanzol
C10931	Butachlor
C06088	Aphidicolin
C06384	N-(Hydroxymethyl)urea
C05636	3-Hydroxykynurenamine
C11821	5-Hydroxyisourate
C03227	3-Hydroxy-L-kynurenine
C17277	(+)-Valencene
C00218	Methylamine
C01111	7,8-Dihydroxykynurenate
C05714	alpha-Aminopropiononitrile
C16303	Ternatin C5
C01416	Cocaine
C20739	Neopikromycin
C19894	1,1'-Dihydroxy-1,1',2,2'-tetrahydrolycopene
C12176	Proansamycin X
C03906	beta-L-Arabinose 1-phosphate
C00355	3,4-Dihydroxy-L-phenylalanine
C20697	(2E,4E,6E)-4-Methylocta-2,4,6-trienedial
C03577	20-Hydroxyleukotriene E4
C05715	gamma-Amino-gamma-cyanobutanoate
C04554	3alpha,7alpha-Dihydroxy-5beta-cholestanate
C21072	Palmitoleoyl-CoA
C06171	Codeinone
C06579	cis-2,3-Dihydroxy-2,3-dihydro-p-cumate
C05176	(S)-N-Methylcoclaurine
C12313	cis-1,2-Cyclohexanediol
C20232	(Z)-2-Methylureidoacrylate peracid
C05528	3-Sulfopyruvate
C11866	2,3-Dehydro-gibberellin A9
C18682	11-Deoxylandomycinone
C01183	N,N-Dimethylaniline N-oxide
C21840	12-epi-Fischerindole U
C20246	2-[(2R,5Z)-2-Carboxy-4-methylthiazol-5(2H)-ylidene]ethyl phosphate
C01181	4-Trimethylammoniobutanoate
C11513	(24R)-24-Methylcycloarta-25-en-3-beta-ol
C02528	Chenodeoxycholate
C01096	Sorbitol 6-phosphate
C05601	4-Hydroxy-2-oxo-heptanedioate
C22002	Lipid IIB
C06813	Nitrobenzene
C01280	Dihydrostreptomycin 3'alpha,6-bisphosphate
C20552	Terpendole K
C19082	(1R,2R,4S)-Limonene-1,2-diol
C19892	4'-Apo-beta,psi-caroten-4'-al
C06010	(S)-2-Acetolactate
C16649	4-Hydroxyvalproic acid
C19815	Terpentedienyl diphosphate
C20804	alpha-Longipinene
C11500	5'-Dehydroadenosine
C08538	Betalamic acid
C15795	22alpha-Hydroxy-campesterol
C04655	(2S,3S)-2-Hydroxytridecane-1,2,3-tricarboxylate
C15794	Castasterone
C04586	Diethyl (2R,3R)-2-methyl-3-hydroxysuccinate
C13635	4-Hydroxyphenacyl alcohol
C20548	Lolitriol
C20551	Lolitrem B
C16508	12-trans-Hydroxy juvenile hormone III
C21525	2-Methylbutanenitrile
C13621	Tribromobisphenol A
C18324	(2S)-Methylsuccinyl-CoA
C00668	alpha-D-Glucose 6-phosphate
C00353	Geranylgeranyl diphosphate
C00440	5-Methyltetrahydrofolate
C00854	Cyclohexanol
C21982	Lipid IVB
C04719	1-Hydroxy-2-(beta-D-glucosyloxy)-9,10-anthraquinone
C20940	L-Dihydroanticapsin
C00232	Succinate semialdehyde
C04615	alpha-D-Mannosylchitobiosyldiphosphodolichol
C10443	Curcumin
C16331	OPC6-CoA
C04573	UDP-N-acetyl-2-amino-2-deoxy-D-glucuronate
C12422	Methyl aklanonate
C12436	Dihydrokalafungin
C00534	Pyridoxamine
C01948	Pentadecanal
C14095	2-Hydroxy-3-carboxybenzalpyruvate
C04584	6-Imino-5-oxocyclohexa-1,3-dienecarboxylate
C21296	1alpha-Hydroxytestosterone
C01518	Nigerose
C00352	D-Glucosamine 6-phosphate
C04083	N6-(Delta2-Isopentenyl)-adenine
C20990	6-Aminohexanoate cyclic oligomer
C16266	3-Chloro-2-hydroxymuconic semialdehyde
C18246	1,1,1-Trichloroethane
C05122	Taurocholate
C08358	2-Methoxyestrone 3-sulfate
C05674	CMP-N-trimethyl-2-aminoethylphosphonate
C19891	1D-chiro-Inositol
C14771	14,15-EET
C05109	24,25-Dihydrolanosterol
C19932	Perakine
C18358	DHKred-OH
C18299	4-Aminoanhydrochlortetracycline
C11435	4-(Cytidine 5'-diphospho)-2-C-methyl-D-erythritol
C01001	Formylmethanofuran
C16263	2,3-Dihydroxy-2'-carboxybiphenyl
C02669	D-Galactono-1,5-lactone
C01672	Cadaverine
C03071	3-aci-Nitropropanoate
C12392	Stealthin C
C00048	Glyoxylate
C20800	3-Methyl-L-tyrosine
C04115	4-Carboxy-4-hydroxy-2-oxoadipate
C05324	Nicotianamine
C00209	Oxalate
C04409	2-Amino-3-carboxymuconate semialdehyde
C05768	Coproporphyrinogen I
C18098	Primary fluorescent chlorophyll catabolite
C16472	3-Fluorocatechol
C01144	(S)-3-Hydroxybutanoyl-CoA
C21569	4-Hydroxy-2,2'-bipyrrole-5-carbaldehyde
C04217	all-trans-Pentaprenyl diphosphate
C05230	Phaseollidin
C05574	3-Aminopentanedioate
C00623	sn-Glycerol 1-phosphate
C04536	Magnesium protoporphyrin monomethyl ester
C00235	Dimethylallyl diphosphate
C20710	(4R,5R)-4,5-Dihydroxycyclohexa-1(6),2-diene-1-carboxylate
C16999	Futalosine
C09244	Tabersonine
C00208	Maltose
C19758	beta-D-Galactosyl-(1->4)-L-rhamnose
C19818	beta-Phellandrene
C02904	p-Menthane-3,8-diol
C19944	3-Hydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione
C12270	N-Acetylaspartylglutamate
C07093	3,6-Dichloro-cis-1,2-dihydroxycyclohexa-3,5-diene
C05600	2-Hydroxyhepta-2,4-dienedioate
C00679	5-Dehydro-4-deoxy-D-glucarate
C20888	Cellobionate
C02890	Tetrahydropalmatine
C17759	1-O-Feruloyl-beta-D-glucose
C21613	(R)-2-(Phosphonomethyl)malate
C00943	3',5'-Cyclic IMP
C04020	D-Lysopine
C02538	Estrone 3-sulfate
C04752	4-Amino-5-hydroxymethyl-2-methylpyrimidine diphosphate
C05147	trans-3-Hydroxy-L-proline
C16243	Cobalt-precorrin 5B
C16276	epsilon-Carotene
C18632	1-OH-Nogalamycinone
C00083	Malonyl-CoA
C05334	Isosakuranetin
C05696	3'-Phosphoadenylylselenate
C03242	Dihomo-gamma-linolenate
C20563	Brevianamide F
C00111	Glycerone phosphate
C02348	(R)(-)-Allantoin
C15548	2-alpha-D-Glucosyl-D-glucose
C15613	(25R)-3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-oyl-CoA
C18034	dTDP-D-forosamine
C19618	Octadec-9-ene-1,18-dioic-acid
C16846	Cinchonidinone
C11355	4-Amino-4-deoxychorismate
C15772	DIBOA-glucoside
C18802	Tetrahydrosarcinapterin
C18245	8-epi-Cedrol
C00239	dCMP
C10850	Calystegin A3
C08825	Lophenol
C01989	3-Ethylmalate
C17704	Antibiotic JI-20A
C16269	(+)-epi-Isozizaene
C04447	3-Carboxy-4-methoxy-N-methyl-2-pyridone
C06602	2,5-Dichlorophenol
C08615	alpha-Amyrin
C05803	2-Hexaprenyl-6-methoxy-1,4-benzoquinone
C06006	(S)-2-Aceto-2-hydroxybutanoate
C09684	Humulene
C03462	3''-Adenylylstreptomycin
C08620	Cyanidin 3-O-rutinoside
C11953	6,8a-Seco-6,8a-deoxy-5-oxoavermectin ''2b'' aglycone
C05125	2-(alpha-Hydroxyethyl)thiamine diphosphate
C02916	(S)-Norlaudanosoline
C18075	11beta,17beta-Dihydroxy-4-androsten-3-one
C07447	Acetylhydrazine
C14152	beta-Tocopherol
C19968	8-Oxo-dGMP
C19683	3,4-Didehydroadipyl-CoA semialdehyde
C19741	(+)-Cubenene
C00217	D-Glutamate
C20444	Dihydrodemethylsterigmatocystin
C11539	Cobalt-precorrin 3
C02779	2-Dehydro-D-glucose
C05583	3-Methoxy-4-hydroxyphenylglycolaldehyde
C15673	2-Dehydro-L-idonate
C11988	Megalomicin C2
C16367	Delphinidin 3-O-(6-caffeoyl-beta-D-glucoside)
C00599	Cholest-4-en-3-one
C06440	2-Dehydro-D-glucono-1,5-lactone
C14858	2,2-Dichloroacetaldehyde
C05123	2-Hydroxyethanesulfonate
C03972	2,3,4,5-Tetrahydrodipicolinate
C09390	Cephaeline
C17435	di-trans,poly-cis-Pentaprenyl diphosphate
C03215	2-Carboxy-D-arabinitol
C21473	(1R,5aS,6R)-4a-Hydroxy-1,4,4a,5,5a,6,9,10a-octahydrophenazine-1,6-dicarboxylate
C01015	cis-4-Hydroxy-L-proline
C01234	1-Aminocyclopropane-1-carboxylate
C04251	Deoxylimononic acid D-ring-lactone
C21029	(R)-3-Ureidoisobutyrate
C14153	alpha-Tocotrienol
C00117	D-Ribose 5-phosphate
C00185	Cellobiose
C03495	Deoxy-5-methylcytidylate
C00797	Ethylamine
C20542	13-Desoxyterpendole I
C05141	Estriol
C06035	4-Methylene-2-oxoglutarate
C01047	N5-Ethyl-L-glutamine
C21325	Azatyrosine
C02004	Aristolochene
C19731	(3S)-3-Hydroxycyclocitral
C05418	Cholesterol-5beta,6beta-epoxide
C15850	Angiotensin (1-7)
C19614	16-Oxopalmitate
C20632	Methyl gibberellin A9
C20492	Pelargonidin 5-O-beta-D-glucoside 3-O-beta-D-sambubioside
C16285	Thiobenzamide S,S-dioxide
C02013	Cellotetraose
C19805	Aminopentol
C02247	Anthraniloyl-CoA
C00935	UDP-L-arabinose
C18072	N1,N5,N10-Tri(hydroxyferuloyl) spermidine
C04368	3-Amino-3-(4-hydroxyphenyl)propanoate
C19755	Patchoulol
C05080	Novobiocin
C19615	Hexadecanedioate
C18306	5-Methylmaleylacetate
C09900	gamma-Terpinene
C21464	4-O-[(2R)-1-Glycerophospho]-N-acetyl-beta-D-mannosaminyl-(1->4)-N-acetyl-alpha-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol
C01673	Calcitriol
C05548	6-Acetamido-2-oxohexanoate
C16756	Aflatoxin M1
C06218	Cellopentaose
C03090	5-Phosphoribosylamine
C05480	Pregnanolone
C17017	Cyclic dehypoxanthine futalosine
C21749	5-Fluorouridine triphosphate
C00795	D-Tagatose
C21930	(-)-5-Oxo-1,2-campholide
C05787	Bilirubin beta-diglucuronide
C06752	1,2-Dichloroethane
C20622	beta-D-Gal-(1->3)-alpha-D-GalNAc-(1->3)-alpha-D-GalNAc-diphospho-ditrans,octacis-undecaprenol
C21604	(3S)-6-Acetamido-3-aminohexanoate
C01598	Melatonin
C07216	3-Methylbenzyl alcohol
C07030	N-Acetyl-O-demethylpuromycin-5'-phosphate
C09815	Benzamide
C09756	Homoeriodictyol
C06552	Hydroxyatrazine
C02191	Protoporphyrin
C19617	18-Oxooleate
C21134	Protoviolaceinic acid
C06319	Precorrin 6Y
C07098	2,4,6-Trichlorophenol
C01620	Threonate
C21128	O-Demethyl-N-demethyl-staurosporine
C12474	Novobiocic acid
C02001	Allyl alcohol
C07025	3'-Keto-3'-deoxy-AMP
C16403	4-Amino-2-hydroxylamino-6-nitrotoluene
C04280	1-Guanidino-1-deoxy-scyllo-inositol
C07215	o-Toluate
C04895	7,8-Dihydroneopterin 3'-triphosphate
C01953	Pregnenolone
C05482	Cortol
C20323	(+)-6-endo-Hydroxycamphor
C01099	L-Fuculose 1-phosphate
C19971	UDP-2,4-bis(acetamido)-2,4,6-trideoxy-beta-L-altropyranose
