C16579	trans-Homoaconitate
C02814	Benzene-1,2,4-triol
C06503	Hydrogenobyrinate a,c diamide
C06394	delta-Cadinene
C06397	ADP-D-glycero-beta-D-manno-heptose
C12123	7,4'-Dihydroxyflavone
C02265	D-Phenylalanine
C17440	Tetrahydrogeranylgeranyl diphosphate
C12125	Isoformononetin
C12124	Apiforol
C02726	Phosphoagmatine
C06468	D-Psicose
C02720	Hydroxylaminobenzene
C02721	N-Methyl-L-alanine
C08057	Cycloserine
C16141	(+)-Germacrene A
C03142	N-D-Glucosylarylamine
C03141	N-Benzoylanthranilate
C02266	D-Xylonolactone
C03147	N-Malonylanthranilate
C06111	Nerolidyl diphosphate
C05281	5-Methylbarbiturate
C18326	p-Coumaroylputrescine
C18325	Feruloylagmatine
C18324	(2S)-Methylsuccinyl-CoA
C18323	3-Methylfumaryl-CoA
C08544	Gomphrenin-I
C16492	8-C-Glucosylnaringenin
C04454	5-Amino-6-(5'-phospho-D-ribitylamino)uracil
C17530	Methyl acetate
C09666	beta-Farnesene
C02923	2,3-Dihydroxytoluene
C02926	Homoserine lactone
C02927	2-Caffeoylisocitrate
C03034	dTDP-D-galacturonate
C03030	Uracil 5-carboxylate
C07024	3'-Keto-3'-deoxy-ATP
C07025	3'-Keto-3'-deoxy-AMP
C09898	alpha-Terpinene
C06001	(S)-3-Hydroxyisobutyrate
C06002	(S)-Methylmalonate semialdehyde
C06007	(R)-2,3-Dihydroxy-3-methylpentanoate
C03526	O-Sinapoylglucarolactone
C06735	Aminoacetaldehyde
C06732	alpha,beta-Didehydrotryptophan
C06730	4-Methylcatechol
C16489	Fructoselysine 6-phosphate
C18211	Isopimara-7,15-diene
C05656	5-(3'-Carboxy-3'-oxopropyl)-4,6-dihydroxypicolinate
C00955	Indole-3-ethanol
C00954	Indole-3-acetate
C00957	Mercaptopyruvate
C00956	L-2-Aminoadipate
C20870	3-(Methylthio)propanoyl-CoA
C00423	trans-Cinnamate
C01112	D-Arabinose 5-phosphate
C00424	(S)-Lactaldehyde
C12305	Methyl salicylate
C00429	5,6-Dihydrouracil
C11472	D-glycero-beta-D-manno-Heptose 1,7-bisphosphate
C03451	(R)-S-Lactoylglutathione
C06646	2-(4'-Chlorophenyl)-3,3-dichloropropenoate
C03453	gamma-Oxalocrotonate
C22021	L-Tyrosinal
C06399	Hydrogenobyrinate
C06398	ADP-L-glycero-beta-D-manno-heptose
C05659	5-Methoxytryptamine
C03851	Adenosine 5'-phosphoramidate
C00398	Tryptamine
C00392	Mannitol
C00394	GDP-glucose
C00559	Deoxyadenosine
C00558	D-Tagaturonate
C07350	Phlorisovalerophenone
C07351	Phlorisobutyrophenone
C00555	4-Aminobutyraldehyde
C09827	Pinocembrin
C00885	Isochorismate
C00556	Benzyl alcohol
C00882	Dephospho-CoA
C00881	Deoxycytidine
C12270	N-Acetylaspartylglutamate
C20668	3-Dehydro-D-glucose 6-phosphate
C20664	(-)-Bornyl diphosphate
C00379	Xylitol
C00378	Thiamine
C18245	8-epi-Cedrol
C00087	Sulfur
C00086	Urea
C00085	D-Fructose 6-phosphate
C00084	Acetaldehyde
C00083	Malonyl-CoA
C00082	L-Tyrosine
C00081	ITP
C00080	H+
C04641	2-(alpha-D-Galactosyl)-sn-glycerol 3-phosphate
C04642	2-Hydroxy-5-carboxymethylmuconate semialdehyde
C00089	Sucrose
C00088	Nitrite
C11878	(-)-Abietadiene
C11879	Levopimaradiene
C11877	(+)-Sandaracopimaradiene
C17203	N-Hydroxyl-tryptamine
C17206	Uracil 5-carbaldehyde
C17209	2-Deoxy-scyllo-inosose
C15556	L-3,4-Dihydroxybutan-2-one 4-phosphate
C11894	Taxa-4(5),11(12)-diene
C11892	Aphidicol-15-ene
C06052	5-Pyridoxolactone
C11890	Aphidicolan-16beta-ol
C11891	Aphidicol-16-ene
C04706	cis-2-Chloro-4-carboxymethylenebut-2-en-1,4-olide
C04702	UDPMurNAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)
C04703	alpha-D-Galactosyl-(1,1')-sn-glycerol 3-phosphate
C05608	4-Hydroxycinnamyl aldehyde
C20889	D-Galactaro-1,5-lactone
C20888	Cellobionate
C10434	5-O-Caffeoylshikimic acid
C20887	beta-D-Mannosyl-1,4-N-acetyl-D-glucosamine
C05601	4-Hydroxy-2-oxo-heptanedioate
C05607	Phenyllactate
C05604	2-Carboxy-2,3-dihydro-5,6-dihydroxyindole
C00170	5'-Methylthioadenosine
C00177	Cyanide ion
C00175	Cobalt ion
C14151	delta-Tocopherol
C14152	beta-Tocopherol
C00178	Thymine
C14154	beta-Tocotrienol
C14155	gamma-Tocotrienol
C14156	delta-Tocotrienol
C20243	2-Methylisoborneol
C20242	(-)-Sabinene
C20241	Tricyclene
C20536	Terpendole E
C20531	13-Desoxypaxilline
C20530	Paspaline
C20245	UDP-N-acetyl-alpha-D-glucosamine 3'-phosphate
C20244	(+)-beta-Pinene
C21332	8-Dehydro-3-deoxy-D-manno-octulosonate
C20248	7-Carboxy-7-carbaguanine
C21334	CMP-8-amino-3,8-dideoxy-beta-D-manno-octulosonate
C21336	beta-1,2-Mannobiose
C11481	HSO3-
C02727	N6-Acetyl-L-lysine
C06307	(-)-beta-Pinene
C05116	3-Hydroxybutanoyl-CoA
C01179	3-(4-Hydroxyphenyl)pyruvate
C09648	beta-Cubebene
C16666	Vanillylamine
C01170	UDP-N-acetyl-D-mannosamine
C04411	(2R,3S)-3-Isopropylmalate
C01172	beta-D-Glucose 6-phosphate
C01175	1-O-Sinapoyl-beta-D-glucose
C21428	12-Ethyl-8-propyl-3-vinylbacteriochlorophyllide d
C21429	12-Ethyl-8-isobutyl-3-vinylbacteriochlorophyllide d
C21427	8,12-Diethyl-3-vinylbacteriochlorophyllide d
C16143	(1E,4S,5E,7R)-Germacra-1(10),5-dien-11-ol
C00296	Quinate
C16142	(-)-Germacrene D
C21752	2-Hydroxyethyl-CoM
C21203	Geranyl phosphate
C00295	Orotate
C01286	2-Dehydro-3-deoxy-6-phospho-D-galactonate
C20273	gamma-Muurolene
C01289	N-Acetyl-D-glucosaminyldiphosphoundecaprenol
C20333	N2-Citryl-N6-acetyl-N6-hydroxy-L-lysine
C20330	L-Hydroxyarginine
C01772	trans-2-Hydroxycinnamate
C01845	Propan-2-ol
C05307	Chlorophyll b
C04895	7,8-Dihydroneopterin 3'-triphosphate
C04896	5-(5-Phospho-D-ribosylaminoformimino)-1-(5-phosphoribosyl)-imidazole-4-carboxamide
C00672	2-Deoxy-D-ribose 1-phosphate
C15974	3-Methyl-1-hydroxybutyl-ThPP
C15976	2-Methyl-1-hydroxypropyl-ThPP
C15978	2-Methyl-1-hydroxybutyl-ThPP
C05306	Chlorophyll a
C21113	NMNH
C03738	gamma-L-Glutamyl-D-alanine
C01403	Anisole
C03737	alpha-D-Xylose 1-phosphate
C03733	UDP-alpha-D-galactofuranose
C01598	Melatonin
C02866	O-Sinapoylglucarate
C13645	Hydrobromic acid
C02488	(R)-2-Ethylmalate
C01352	FADH2
C01353	Carbonic acid
C00417	cis-Aconitate
C01359	PQQH2
C02483	gamma-Tocopherol
C01602	Ornithine
C02486	(3R)-beta-Leucine
C01825	L-Galactose
C18910	2,5-Diamino-6-(5-phospho-D-ribitylamino)pyrimidin-4(3H)-one
C02804	5-Hydroxypentanoate
C05855	4-Hydroxycinnamyl alcohol 4-D-glucoside
C05853	Phenylethyl alcohol
C02800	4,5-Dioxopentanoate
C01829	Thyroxine
C16776	beta-Sesquiphellandrene
C02730	2-Succinylbenzoate
C02734	Phenolic phosphate
C02739	1-(5-Phospho-D-ribosyl)-ATP
C03604	D-Erythrulose 4-phosphate
C15767	4-(L-gamma-Glutamylamino)butanoate
C03194	(R)-1-Aminopropan-2-ol
C03196	(S)-2-Hydroxyglutarate
C03198	(S)-4-Hydroxymandelate
C05598	Phenylacetylglycine
C02939	3-Methylbutanoyl-CoA
C02938	3-Indoleacetonitrile
C04851	MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho-undecaprenol
C06035	4-Methylene-2-oxoglutarate
C03516	Magnesium protoporphyrin
C03046	(S,S)-Butane-2,3-diol
C06031	D-threo-3-Methylmalate
C06032	D-erythro-3-Methylmalate
C06033	Parapyruvate
C00887	Nitrous oxide
C03519	N-Acetyl-L-phenylalanine
C03284	L-3-Aminoisobutanoate
C03671	2-Pyrone-4,6-dicarboxylate
C02022	D-Erythrulose
C03993	4-(beta-D-Glucosyloxy)benzoate
C04092	Delta1-Piperideine-2-carboxylate
C03997	5-Hydroxymethyldeoxycytidylate
C16305	Pelargonidin 3-O-sophoroside
C07294	Methylarsonate
C00969	3-Hydroxypropanal
C04259	N,N-Dimethylhistidine
C04257	N-Acetyl-D-mannosamine 6-phosphate
C00966	2-Dehydropantoate
C11460	dTDP-4-oxo-5-C-methyl-L-rhamnose
C20845	(4S,5R)-4,5,6-Trihydroxy-2-iminohexanoate
C09900	gamma-Terpinene
C09902	(R)-(+)-alpha-Terpineol
C00418	(R)-Mevalonate
C00415	Dihydrofolate
C12667	Quercetin 3-O-beta-D-glucosyl-(1->2)-beta-D-glucoside
C00411	Sinapoyl-CoA
C03461	2-trans,6-trans-Farnesal
C06108	Fluoroacetate
C03861	Dibenzo[1,4]dioxin-2,3-dione
C03868	Indole-3-acetyl-myo-inositol
C02372	4-Hydroxyaniline
C00617	UDP-D-galacturonate
C00568	4-Aminobenzoate
C09839	Car-3-ene
C12203	5-Hydroxyferuloyl-CoA
C12206	Caffeyl alcohol
C12204	5-Hydroxyconiferaldehyde
C12205	5-Hydroxyconiferyl alcohol
C06813	Nitrobenzene
C00272	Tetrahydrobiopterin
C00345	6-Phospho-D-gluconate
C20651	O-Ureido-D-serine
C20653	2-Benzylmalic acid
C20654	3-Benzylmalic acid
C20656	(L-Prolyl)adenylate
C20657	meso-2,3-Butanediol
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide
C04076	L-2-Aminoadipate 6-semialdehyde
C04075	2-Amino-4-chloro-4-pentenoic acid
C00740	D-Serine
C00742	Fluoride
C00748	Siroheme
C00986	1,3-Diaminopropane
C15531	2'-O-Methylisoliquiritigenin
C00984	alpha-D-Galactose
C15530	Corydaline
C00880	D-Galactonate
C00988	2-Phosphoglycolate
C17220	2-Oxo-7-methylthioheptanoic acid
C15522	4a-Hydroxytetrahydrobiopterin
C17230	2-(7'-Methylthio)heptylmalic acid
C17231	3-(7'-Methylthio)heptylmalic acid
C17232	2-Oxo-10-methylthiodecanoic acid
C15525	Eriodictyol chalcone
C04524	2-Protocatechoylphloroglucinolcarboxylate
C11881	Palustradiene
C11880	Neoabietadiene
C04713	N6-(delta2-Isopentenyl)-adenosine 5'-monophosphate
C04712	(7R)-7-(5-Carboxy-5-oxopentanoyl)aminocephalosporinate
C05619	5-Hydroxyferulic acid methyl ester
C14145	(3S)-3-Hydroxyadipyl-CoA
C14144	5-Carboxy-2-pentenoyl-CoA
C14143	Adipyl-CoA
C05610	Sinapoyl aldehyde
C00188	L-Threonine
C00186	(S)-Lactate
C00184	Glycerone
C06006	(S)-2-Aceto-2-hydroxybutanoate
C00183	L-Valine
C00180	Benzoate
C00181	D-Xylose
C01165	L-Glutamate 5-semialdehyde
C01163	3-Carboxy-cis,cis-muconate
C01161	3,4-Dihydroxyphenylacetate
C02411	Glutaconyl-1-CoA
C04409	2-Amino-3-carboxymuconate semialdehyde
C01168	Pseudouridine 5'-phosphate
C20618	beta-D-Gal-(1->4)-alpha-D-GlcNAc-diphospho-ditrans,octacis-undecaprenol
C20434	20-Methyl-21,22-didehydro-20,21-dihydrobotryococcene
C20435	3,20-Dimethyl-1,2,21,22-tetradehydro-2,3,20,21-tetrahydrobotryococcene
C20432	C30 Botryococcene
C20433	3-Methyl-1,2-didehydro-2,3-dihydrobotryococcene
C21433	12-Ethyl-8-propylbacteriochlorophyllide d
C21432	8,12-Diethylbacteriochlorophyllide d
C21431	8-Ethyl-12-methylbacteriochlorophyllide d
C21434	12-Ethyl-8-isobutylbacteriochlorophyllide d
C21747	N-Acetyl-beta-D-glucosaminyl-(1->4)-D-glucosamine
C21295	5-Methylphenazine-1-carboxylate
C17017	Cyclic dehypoxanthine futalosine
C17010	Dehypoxanthine futalosine
C16541	Chlorophyllide b
C16540	7(1)-Hydroxychlorophyllide a
C20345	Isopentenyl phosphate
C01762	Xanthosine
C01769	(S)-Acetoin
C01093	Cellobiono-1,5-lactone
C00645	N-Acetyl-D-mannosamine
C04881	N-Acetyl-beta-D-mannosaminyl-1,4-N-acetyl-D-glucosaminyldiphosphoundecaprenol
C04886	alpha-N-Acetylneuraminyl-2,6-beta-D-galactosyl-1,4-N-acetyl-beta-D-glucosamine
C01904	D-Arabitol
C03722	Quinolinate
C21105	5-Chloro-2-hydroxy-p-benzoquinone
C21102	5'-Deoxyinosine
C21100	Caldopentamine
C00055	CMP
C01586	Hippurate
C09094	Geranylgeraniol
C01346	dUDP
C01617	Taxifolin
C01616	Tauropine
C01613	Stachyose
C09092	Ferruginol
C01837	Nitroethane
C05829	N-Carbamyl-L-glutamate
C05823	3-Mercaptolactate
C05821	Enterochelin
C05827	Methylimidazole acetaldehyde
C05824	S-Sulfo-L-cysteine
C02837	L-Lysine 1,6-lactam
C19748	(E)-gamma-Bisabolene
C19749	(E)-alpha-Bisabolene
C19746	(3R,6E)-Nerolidol
C19747	Germacrene C
C19744	(+)-Epicubenol
C19742	(+)-delta-Selinene
C19743	(-)-Drimenol
C19740	(+)-alpha-Barbatene
C03618	L-threo-3-Methylaspartate
C06241	N-Acetylneuraminate 9-phosphate
C06240	UDP-N-acetyl-D-mannosaminouronate
C02587	Pyrimidodiazepine
C02237	5-Oxo-D-proline
C02235	4-Nitrocatechol
C02232	3-Oxoadipyl-CoA
C02231	3-Nitroacrylate
C03187	dTDP-6-deoxy-beta-L-talose
C17556	di-trans,poly-cis-Undecaprenyl phosphate
C17558	di-trans,poly-cis-Undecaprenol
C03052	2,3-Dihydrogossypetin
C06027	L-erythro-3-Methylmalyl-CoA
C03506	Indoleglycerol phosphate
C03058	2-Hydroxyglutaryl-CoA
C06029	L-threo-3-Methylmalate
C06028	2-Methylfumaryl-CoA
C03291	L-Xylulose 5-phosphate
C18904	Methylselenopyruvate
C03296	N2-Succinyl-L-arginine
C20240	(2Z,4Z)-2-Hydroxyhexa-2,4-dienoate
C03298	Nalpha-Methylhistidine
C04089	UDP-4-dehydro-6-deoxy-D-glucose
C04083	N6-(Delta2-Isopentenyl)-adenine
C06755	Chloroacetic acid
C00979	O-Acetyl-L-serine
C00978	N-Acetylserotonin
C20247	2-(2-Carboxy-4-methylthiazol-5-yl)ethyl phosphate
C04244	6-Lactoyl-5,6,7,8-tetrahydropterin
C00971	4-Pyridoxolactone
C11419	(3S)-3-Isopropenyl-6-oxoheptanoate
C00977	L-Tryptophanamide
C00976	GDP-D-mannuronate
C00975	Dihydroxyfumarate
C00974	Dihydrokaempferol
C22006	(R)-(Indol-3-yl)lactate
C00409	Methanethiol
C00408	L-Pipecolate
C07756	7-Aminocephalosporanic acid
C00507	L-Rhamnose
C03459	2-Hydroxy-3-oxosuccinate
C00407	L-Isoleucine
C00406	Feruloyl-CoA
C01111	7,8-Dihydroxykynurenate
C17959	alpha-L-Rhamnosyl-(1->3)-alpha-D-galactosyl-diphosphoundecaprenol
C05906	Leucocyanidin
C17955	(5R)-Albaflavenol
C17954	Albaflavenone
C17953	(5S)-Albaflavenol
C09332	THF-L-glutamate
C09663	alpha-Eudesmol
C12838	trans-4-Carboxymethylenebut-2-en-4-olide
C01118	O-Succinyl-L-homoserine
C00577	D-Glyceraldehyde
C00575	3',5'-Cyclic AMP
C17255	3-Methylbutyraldehyde oxime
C11527	4-Hydroxymandelate
C14859	Chloroacetyl chloride
C14858	2,2-Dichloroacetaldehyde
C11521	UDP-6-sulfoquinovose
C03986	3-Hydroxy-4-methylanthranilate
C03985	Linalool
C08537	Amaranthin
C03981	2-Hydroxyethylenedicarboxylate
C12210	UDP-3-ketoglucose
C08539	Betanidin
C08538	Betalamic acid
C03989	Isolychnose
C00357	N-Acetyl-D-glucosamine 6-phosphate
C00356	(S)-3-Hydroxy-3-methylglutaryl-CoA
C00355	3,4-Dihydroxy-L-phenylalanine
C00354	D-Fructose 1,6-bisphosphate
C00353	Geranylgeranyl diphosphate
C00352	D-Glucosamine 6-phosphate
C16999	Futalosine
C04666	D-erythro-1-(Imidazol-4-yl)glycerol 3-phosphate
C00158	Citrate
C05399	Melibiitol
C00751	Squalene
C00750	Spermine
C00757	Berberine
C00755	4-Hydroxy-3-methoxy-benzaldehyde
C05593	3-Hydroxyphenylacetate
C05590	Hydroiodic acid
C05596	p-Hydroxyphenylacetylglycine
C05902	3-Methoxyapigenin
C05594	3-Methoxy-4-hydroxyphenylethyleneglycol
C05595	4-Hydroxyphenylacetylglutamic acid
C00990	5-Aminopentanamide
C00993	D-Alanyl-D-alanine
C11631	9-Riburonosylhypoxanthine
C17228	2-Oxo-9-methylthiononanoic acid
C17223	3-(5'-Methylthio)pentylmalic acid
C17222	2-(5'-Methylthio)pentylmalic acid
C15532	N-Acetyl-L-citrulline
C17227	3-(6'-Methylthio)hexylmalic acid
C17226	2-(6'-Methylthio)hexylmalic acid
C17224	2-Oxo-8-methylthiooctanoic acid
C05625	Rutin
C05627	4-Hydroxystyrene
C05620	N-Acetyl-D-phenylalanine
C05622	Malonylapiin
C05623	Quercetin 3-O-glucoside
C05629	Phenylpropanoate
C20646	(3S)-2-Oxo-3-phenylbutanoate
C20645	Methyl benzoate
C00199	D-Ribulose 5-phosphate
C00198	D-Glucono-1,5-lactone
C20641	L-Threonylcarbamoyladenylate
C00197	3-Phospho-D-glycerate
C00196	2,3-Dihydroxybenzoate
C00191	D-Glucuronate
C00190	UDP-D-xylose
C00192	Hydroxylamine
C00430	5-Aminolevulinate
C21593	D-Erythronate
C20512	Tryprostatin B
C09664	beta-Eudesmol
C01113	D-Galactose 6-phosphate
C01110	5-Amino-2-oxopentanoic acid
C04471	(4S,5S)-4,5-Dihydroxy-2,6-dioxohexanoate
C01114	L-Arabinono-1,4-lactone
C01115	L-Galactono-1,4-lactone
C04478	3-Deoxy-D-manno-octulosonate 8-phosphate
C04479	2-Hydroxy-6-oxonona-2,4-diene-1,9-dioate
C20582	cis-(Homo)3-aconitate
C05130	Imidazole-4-acetaldehyde
C05131	(1-Ribosylimidazole)-4-acetate
C05133	4-Imidazolone-5-acetate
C05135	4-(beta-Acetylaminoethyl)imidazole
C21913	Dihydro-4-coumaroyl-CoA
C21914	Dihydroferuloyl-CoA
